"","Genotype","DP_2015","DP_2017","DP_2018","DP_2019","DP_2015_2017","DP_2015_2018","DP_2015_2019"
"MOHLER",233,69.7523794784493,66.3919428091834,77.9272140864714,79.280160390516,67.6190476190476,71.0486816762968,73.0773062363021
"MORO",234,103.435826857246,115.167016300267,77.1355474198047,75.1968270571827,109.125,98.4682705718271,92.6796548117155
"N92163-1",235,83.435826857246,95.1670163002671,37.1355474198047,75.1968270571827,89.125,71.8016039051604,72.6796548117155
"N92172-7",236,-16.564173142754,75.1670163002671,77.1355474198047,95.1968270571827,29.125,45.1349372384937,57.6796548117155
"OR2010239",237,58.6739220953413,113.738444871696,57.9272140864714,39.280160390516,86.375,76.8859832635983,67.4552824267782
"OR2010241",238,38.6739220953413,73.7384448716957,77.9272140864714,-0.719839609483973,56.375,63.552649930265,47.4552824267782
"OR2020787",239,38.6739220953413,73.7384448716957,57.9272140864714,-0.719839609483973,56.375,56.8859832635983,42.4552824267782
"OR2030238",240,18.6739220953413,73.7384448716957,57.9272140864714,-0.719839609483973,46.375,50.2193165969317,37.4552824267782
"OR2030239",241,98.6739220953413,73.7384448716957,37.9272140864714,19.280160390516,86.375,70.2193165969317,57.4552824267782
"OR2030411",242,-21.3260779046587,73.7384448716957,57.9272140864714,39.280160390516,26.375,36.8859832635983,37.4552824267782
"OR2030554",243,58.6739220953413,53.7384448716957,37.9272140864714,19.280160390516,56.375,50.2193165969317,42.4552824267782
"OR2040728",244,-1.32607790465872,33.7384448716957,37.9272140864714,19.280160390516,16.375,23.552649930265,22.4552824267782
"OR2050293",245,38.6739220953413,73.7384448716957,-2.07278591352858,59.280160390516,56.375,36.8859832635983,42.4552824267782
"OR2050299",246,18.6739220953413,53.7384448716957,37.9272140864714,39.280160390516,36.375,36.8859832635983,37.4552824267782
"OR2050301",247,38.6739220953413,73.7384448716957,17.9272140864714,39.280160390516,56.375,43.552649930265,42.4552824267782
"OR2050853",248,-11.3260779046587,93.7384448716957,17.9272140864714,59.280160390516,41.375,33.552649930265,39.9552824267782
"OR2050910",249,-21.3260779046587,93.7384448716957,17.9272140864714,59.280160390516,36.375,30.2193165969317,37.4552824267782
"OR2050913",250,-1.32607790465872,73.7384448716957,57.9272140864714,59.280160390516,36.375,43.552649930265,47.4552824267782
"OR2050914",251,-21.3260779046587,73.7384448716957,17.9272140864714,79.280160390516,26.375,23.552649930265,37.4552824267782
"OR2060323",252,-21.3260779046587,73.7384448716957,-2.07278591352858,59.280160390516,26.375,16.8859832635983,27.4552824267783
"OR2060324",253,-1.32607790465872,73.7384448716957,17.9272140864714,-20.719839609484,36.375,30.2193165969317,17.4552824267782
"OR2060395",254,-21.3260779046587,53.7384448716957,57.9272140864714,99.280160390516,16.375,30.2193165969317,47.4552824267782
"OR2060431",255,78.6739220953413,73.7384448716957,37.9272140864714,79.280160390516,76.375,63.552649930265,67.4552824267782
"OR2060926",256,78.6739220953413,73.7384448716957,57.9272140864714,59.280160390516,76.375,70.2193165969317,67.4552824267782
"OR2070011",257,69.9834459048651,77.071778205029,37.9272140864714,39.280160390516,73.4375,61.5943165969316,55.9865324267782
"OR2070385",258,49.9834459048651,77.071778205029,57.9272140864714,59.280160390516,63.4375,61.5943165969316,60.9865324267782
"OR2070453",259,29.9834459048651,77.071778205029,17.9272140864714,39.280160390516,53.4375,41.5943165969316,40.9865324267782
"OR2070608",260,9.98344590486507,77.071778205029,57.9272140864714,79.280160390516,43.4375,48.2609832635983,55.9865324267782
"OR2070870",261,-10.0165540951349,57.071778205029,37.9272140864714,79.280160390516,23.4375,28.2609832635983,40.9865324267782
"OR2071029",262,29.9834459048651,57.071778205029,77.9272140864714,39.280160390516,43.4375,54.927649930265,50.9865324267782
"OR2071071",263,-10.0165540951349,-2.928221794971,17.9272140864714,-0.719839609483973,-6.56249999999999,1.59431659693162,0.986532426778239
"OR2071073",264,-10.0165540951349,-22.928221794971,57.9272140864714,39.280160390516,-16.5625,8.26098326359828,15.9865324267782
"OR2071628",265,9.98344590486507,57.071778205029,37.9272140864714,-0.719839609483973,33.4375,34.9276499302649,25.9865324267782
"OR2071681",266,-30.0165540951349,77.071778205029,57.9272140864714,79.280160390516,23.4375,34.927649930265,45.9865324267782
"OR208047P94",267,18.6739220953413,93.7384448716957,77.9272140864714,19.280160390516,56.375,63.552649930265,52.4552824267782
"OR2080641",268,49.9834459048651,77.071778205029,37.9272140864714,79.280160390516,63.4375,54.927649930265,60.9865324267782
"OR9900553",269,29.9834459048651,97.071778205029,77.9272140864714,99.280160390516,63.4375,68.2609832635983,75.9865324267782
"OR9901619",270,29.9834459048651,97.071778205029,37.9272140864714,79.280160390516,63.4375,54.927649930265,60.9865324267782
"ORCF101",271,9.98344590486507,77.071778205029,37.9272140864714,99.280160390516,43.4375,41.5943165969316,55.9865324267782
"ORCF102",272,29.9834459048651,97.071778205029,-2.07278591352858,59.280160390516,63.4375,41.5943165969316,45.9865324267782
"ORCF103",273,49.9834459048651,77.071778205029,57.9272140864714,99.280160390516,63.4375,61.5943165969316,70.9865324267782
"ORF2267-03",274,49.9834459048651,77.071778205029,37.9272140864714,19.280160390516,63.4375,54.927649930265,45.9865324267782
"ORH010083",275,29.9834459048651,77.071778205029,57.9272140864714,79.280160390516,53.4375,54.927649930265,60.9865324267782
"ORH010837",276,29.9834459048651,117.071778205029,37.9272140864714,59.280160390516,73.4375,61.5943165969316,60.9865324267782
"ORH010918",277,-40.0165540951349,97.071778205029,37.9272140864714,79.280160390516,28.4375,31.5943165969316,43.4865324267782
"ORI2060306",278,29.9834459048651,97.071778205029,37.9272140864714,59.280160390516,63.4375,54.927649930265,55.9865324267782
"ORI2101835",279,49.9834459048651,77.071778205029,57.9272140864714,99.280160390516,63.4375,61.5943165969316,70.9865324267782
"ORI2101839",280,69.9834459048651,97.071778205029,17.9272140864714,79.280160390516,83.4375,61.5943165969316,65.9865324267782
"ORSS1757",281,-30.0165540951349,77.071778205029,57.9272140864714,79.280160390516,23.4375,34.927649930265,45.9865324267782
"SALUTE",282,29.9834459048651,97.071778205029,37.9272140864714,79.280160390516,63.4375,54.927649930265,60.9865324267782
"SIMON",283,49.9834459048651,97.071778205029,57.9272140864714,79.280160390516,73.4375,68.2609832635983,70.9865324267782
"SKILES",284,29.9834459048651,117.071778205029,17.9272140864714,99.280160390516,73.4375,54.927649930265,65.9865324267782
"SSD01089",285,23.435826857246,55.1670163002671,57.1355474198047,75.1968270571827,39.125,45.1349372384937,52.6796548117155
"SSD01096",286,23.435826857246,55.1670163002671,77.1355474198047,95.1968270571827,39.125,51.8016039051604,62.6796548117155
"SSD02046",287,63.435826857246,55.1670163002671,57.1355474198047,95.1968270571827,59.125,58.4682705718271,67.6796548117155
"SSD02047",288,63.435826857246,35.1670163002671,97.1355474198047,75.1968270571827,49.125,65.1349372384937,67.6796548117155
"SSD02053",289,43.435826857246,55.1670163002671,77.1355474198047,75.1968270571827,49.125,58.4682705718271,62.6796548117155
